top_absence,abundance,type,lifeform,target_abbr,target,constituents
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Tsuga heterophylla
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,Needleleaf Trees,Tsuga mertensiana
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picgla,White Spruce,Picea ×lutzii
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picgla,White Spruce,Picea glauca
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picmar,Black Spruce,Picea mariana
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picsit,Sitka Spruce,Picea sitchensis
TRUE,FALSE,diagnostic species set,1. needleleaf tree,pinus,Shore and Lodgepole Pine,Pinus
TRUE,FALSE,diagnostic species set,1. needleleaf tree,pinus,Shore and Lodgepole Pine,Pinus contorta
TRUE,FALSE,diagnostic species set,1. needleleaf tree,pinus,Shore and Lodgepole Pine,Pinus contorta var. contorta
TRUE,FALSE,diagnostic species set,1. needleleaf tree,pinus,Shore and Lodgepole Pine,Pinus contorta var. latifolia
TRUE,TRUE,diagnostic species set,1. needleleaf tree,tsuhet,Western Hemlock,Tsuga heterophylla
TRUE,TRUE,diagnostic species set,1. needleleaf tree,tsumer,Mountain Hemlock,Tsuga mertensiana
TRUE,TRUE,diagnostic species set,2. broadleaf tree,bettre,Birch Trees,Betula kenaica
TRUE,TRUE,diagnostic species set,2. broadleaf tree,bettre,Birch Trees,Betula neoalaskana
TRUE,TRUE,diagnostic species set,2. broadleaf tree,bettre,Birch Trees,Betula papyrifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Betula kenaica
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Betula neoalaskana
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Betula papyrifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Malus fusca
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Populus
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Populus balsamifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Populus tremuloides
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,Populus trichocarpa
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,Broadleaf Trees,tree broadleaf
TRUE,TRUE,diagnostic species set,2. broadleaf tree,poptre,Aspen,Populus tremuloides
TRUE,TRUE,diagnostic species set,2. broadleaf tree,populbt,Poplar and Cottonwood,Populus balsamifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,populbt,Poplar and Cottonwood,Populus trichocarpa
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alder Shrubs,Alnus
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alder Shrubs,Alnus alnobetula
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alder Shrubs,Alnus alnobetula ssp. fruticosa
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alder Shrubs,Alnus alnobetula ssp. sinuata
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alder Shrubs,Alnus incana
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alder Shrubs,Alnus incana ssp. tenuifolia
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,Tall Blueberry Shrubs,Vaccinium alaskaense
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,Tall Blueberry Shrubs,Vaccinium membranaceum
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,Tall Blueberry Shrubs,Vaccinium ovalifolium
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,Tall Blueberry Shrubs,Vaccinium parvifolium
TRUE,TRUE,diagnostic species set,3. shrub,betshr,Birch Shrubs,Betula glandulosa
TRUE,TRUE,diagnostic species set,3. shrub,betshr,Birch Shrubs,Betula nana
TRUE,TRUE,diagnostic species set,3. shrub,betshr,Birch Shrubs,Betula nana ssp. exilis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix alaxensis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix alaxensis var. alaxensis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix alaxensis var. longistylis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix arbusculoides
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix athabascensis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix barclayi
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix barrattiana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix bebbiana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix candida
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix commutata
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix glauca
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix glauca ssp. acutifolia
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix glauca ssp. stipulifera
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix hastata
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix hookeriana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix interior
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix lasiandra
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix lasiandra var. caudata
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix lasiandra var. lasiandra
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix niphoclada
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix planifolia
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix prolixa
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix pseudomonticola
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix pseudomyrsinites
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix pulchra
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix richardsonii
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix scouleriana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix setchelliana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,Willow Shrubs,Salix sitchensis
TRUE,TRUE,diagnostic species set,3. shrub,rhoshr,Rhododendron Shrubs,Rhododendron
TRUE,TRUE,diagnostic species set,3. shrub,rhoshr,Rhododendron Shrubs,Rhododendron groenlandicum
TRUE,TRUE,diagnostic species set,3. shrub,rhoshr,Rhododendron Shrubs,Rhododendron lapponicum
TRUE,TRUE,diagnostic species set,3. shrub,rhoshr,Rhododendron Shrubs,Rhododendron lapponicum ssp. alpinum
TRUE,TRUE,diagnostic species set,3. shrub,rhoshr,Rhododendron Shrubs,Rhododendron tomentosum
TRUE,TRUE,diagnostic species set,3. shrub,rhoshr,Rhododendron Shrubs,Rhododendron tomentosum ssp. decumbens
TRUE,TRUE,diagnostic species set,3. shrub,rubspe,Salmonberry,Rubus spectabilis
TRUE,TRUE,diagnostic species set,3. shrub,vaculi,Low Blueberry Shrubs,Vaccinium uliginosum
TRUE,TRUE,diagnostic species set,3. shrub,vaculi,Low Blueberry Shrubs,Vaccinium caespitosum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas ajanensis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas ajanensis ssp. beringensis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas alaskensis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas drummondii
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas hookeriana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas integrifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas integrifolia ssp. integrifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas Dwarf Shrubs,Dryas integrifolia ssp. sylvatica
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix arctica
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix arctophila
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix chamissonis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix nummularia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix ovalifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix ovalifolia var. arctolitoralis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix ovalifolia var. cyclophylla
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix ovalifolia var. glacialis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix ovalifolia var. ovalifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix phlebophylla
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix polaris
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix reticulata
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix rotundifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix rotundifolia var. dodgeana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix rotundifolia var. rotundifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix sphenophylla
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix sphenophylla ssp. pseudotorulosa
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,Willow Dwarf Shrubs,Salix stolonifera
TRUE,TRUE,diagnostic species set,4. dwarf shrub,empnig,Crowberry,Empetrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,empnig,Crowberry,Empetrum nigrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Cassiope
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Cassiope lycopodioides
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Cassiope mertensiana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Cassiope tetragona
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Cassiope tetragona ssp. saximontana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Cassiope tetragona ssp. tetragona
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Empetrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Empetrum nigrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Harrimanella
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Harrimanella stelleriana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Phyllodoce
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Phyllodoce aleutica
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Phyllodoce caerulea
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Phyllodoce empetriformis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,Needleleaf Ericaceous Shrubs,Phyllodoce glanduliflora
FALSE,TRUE,diagnostic species set,4. dwarf shrub,vacvit,Lingonberry,Vaccinium vitis-idaea
TRUE,TRUE,diagnostic species set,5. graminoid,erivag,Tussock Cottongrass,Eriophorum vaginatum
FALSE,TRUE,functional group,5. graminoid,gramin,Graminoids,graminoid
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Calamagrostis deschampsioides
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex glareosa ssp. glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex glareosa ssp. pribylovensis
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex lyngbyei
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex ramenskii
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex subspathacea
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Carex ursina
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia alaskana
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia andersonii
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia angustata
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia geniculata
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia nutkaensis
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia phryganodes
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia pumila
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,Halophytic Graminoids,Puccinellia vaginata
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis canadensis
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis canadensis ssp. canadensis
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis canadensis ssp. langsdorffii
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis inexpansa
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis neglecta
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis neglecta ssp. groenlandica
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,Mesic-wet Calamagrostis,Calamagrostis neglecta ssp. neglecta
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Agrostis clavata
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Alopecurus aequalis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Alopecurus geniculatus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Arctophila fulva
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Beckmannia syzigachne
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Catabrosa aquatica
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Deschampsia brevifolia
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Deschampsia sukatschewii ssp. borealis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria borealis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria grandis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria grandis var. grandis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria grandis var. komarovii
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria leptostachya
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria pulchella
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Glyceria striata
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus alpinoarticulatus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus alpinoarticulatus ssp. americanus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus arcticus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus arcticus ssp. alaskanus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus articulatus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus balticus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus balticus ssp. ater
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus biglumis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus bufonius
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus effusus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus haenkei
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus mertensianus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus minutulus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus nodosus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus ranarius
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus stygius
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus stygius ssp. americanus
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Juncus supiniformis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Phalaris arundinacea
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Phalaris arundinacea (cultivar)
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Phippsia algida
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Podagrostis aequivalvis
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Scolochloa festucacea
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Triglochin maritima
TRUE,FALSE,diagnostic species set,5. graminoid,wetgram,Wetland Grasses and Rushes,Triglochin palustris
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex adelostoma
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex aquatilis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex arcta
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex bicolor
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex chordorrhiza
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex diandra
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex echinata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex echinata ssp. echinata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex echinata ssp. phyllomanica
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex enanderi
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex glareosa ssp. glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex glareosa ssp. pribylovensis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex gynocrates
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex holostoma
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex interior
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex kellogii
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex lachenalii
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex lasiocarpa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex laxa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex leptalea
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex leptalea ssp. leptalea
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex limosa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex livida
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex lyngbyei
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex marina
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex marina ssp. marina
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex membranacea
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex microglochin
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex pauciflora
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex paupercula
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex pluriflora
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex rariflora
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex rostrata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex rotundata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex saxatilis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex saxatilis ssp. laxa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex sitchensis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex utriculata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex vaginata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex viridula
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Carex viridula ssp. viridula
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum ×medium
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum ×medium ssp. album
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum angustifolium
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,Wetland Sedges,Eriophorum chamissonis
